,from_warehouse,fill_rate
0,Clermont-Ferrand,0.07369723076923078
1,Cergy,0.057920000000000006
2,Cergy,0.13490338461538462
3,Reims,0.023266461538461538
4,Clermont-Ferrand,0.0055827692307692306
5,Cergy,0.06344492307692307
6,Cergy,0.2724763076923077
7,Cergy,0.014290461538461538
8,Reims,0.20842338461538462
9,Avignon,0.08329723076923078
10,Avignon,0.0033673846153846154
11,Montauban,0.0007236923076923077
12,Clermont-Ferrand,0.11456615384615385
13,Cergy,0.40209476923076914
14,Cergy,0.5045538461538462
15,Cergy,0.3257083076923077
16,Reims,0.09306584615384615
17,Avignon,0.14556676923076922
18,Avignon,0.02205415384615385
19,Montauban,0.33685292307692305
20,Clermont-Ferrand,0.1905833846153846
21,Cergy,0.192224
22,Cergy,0.40623384615384617
23,Cergy,0.25896246153846153
24,Reims,0.38074338461538465
25,Reims,0.029755076923076926
26,Avignon,0.38459446153846155
27,Avignon,0.19004553846153843
28,Montauban,0.47574646153846156
29,Clermont-Ferrand,0.1850166153846154
30,Cergy,0.999963076923077
31,Cergy,0.42117169230769236
32,Cergy,0.9160086153846154
33,Cergy,0.8842375384615385
34,Cergy,0.44045661538461534
35,Reims,0.3308307692307692
36,Reims,0.37178092307692306
37,Avignon,0.37444923076923076
38,Montauban,0.7126166153846154
39,Montauban,0.0004676923076923077
40,Clermont-Ferrand,0.4425083076923077
41,Cergy,0.6378252307692308
42,Cergy,0.8118547692307693
43,Cergy,0.9090523076923079
44,Cergy,0.645510153846154
45,Cergy,0.9258990769230768
46,Cergy,0.6667175384615385
47,Reims,0.7919372307692308
48,Reims,0.9232541538461538
49,Reims,0.10972676923076925
50,Avignon,0.3216036923076923
51,Avignon,0.007940923076923076
52,Montauban,0.7719569230769231
53,Clermont-Ferrand,0.12911753846153848
54,Cergy,0.9862153846153846
55,Cergy,0.6965083076923076
56,Cergy,0.41492799999999996
57,Cergy,0.933931076923077
58,Cergy,0.9315704615384616
59,Cergy,0.8617267692307692
60,Cergy,0.19922215384615383
61,Reims,0.4651790769230769
62,Reims,0.7236923076923076
63,Reims,0.8459446153846153
64,Avignon,0.7998756923076922
65,Avignon,0.9127273846153847
66,Avignon,0.5087729230769231
67,Montauban,0.6315076923076923
68,Montauban,0.7268578461538462
69,Clermont-Ferrand,0.7040923076923078
70,Cergy,0.48361476923076924
71,Cergy,0.5976689230769232
72,Cergy,0.7374129230769231
73,Cergy,0.8729944615384616
74,Cergy,0.9775052307692309
75,Cergy,0.9870535384615384
76,Cergy,0.32662153846153846
77,Cergy,0.8601403076923076
78,Cergy,0.8742436923076922
79,Cergy,0.32664
80,Cergy,0.8300061538461537
81,Cergy,0.2879384615384616
82,Reims,0.7806067692307692
83,Reims,0.6656886153846154
84,Avignon,0.9339163076923079
85,Avignon,0.4170387692307692
86,Montauban,0.9616652307692308
87,Montauban,0.9163323076923077
88,Montauban,0.40139938461538466
89,Clermont-Ferrand,0.48892307692307696
90,Clermont-Ferrand,0.7152307692307691
91,Cergy,0.8786646153846155
92,Cergy,0.9989415384615383
93,Cergy,0.8643544615384616
94,Cergy,0.969115076923077
95,Cergy,0.928283076923077
96,Cergy,0.9566892307692308
97,Cergy,0.46646030769230773
98,Cergy,0.9999852307692308
99,Cergy,0.43322707692307694
100,Reims,0.8358104615384613
101,Reims,0.7265255384615384
102,Reims,0.8942350769230769
103,Avignon,0.8340319999999999
104,Avignon,0.2599938461538462
105,Montauban,0.5408086153846153
106,Montauban,0.9683101538461539
107,Montauban,0.9054510769230768
108,Montauban,0.5487138461538462
109,Clermont-Ferrand,0.9167310769230769
110,Clermont-Ferrand,0.1760123076923077
111,Cergy,0.9128640000000001
112,Cergy,0.6203076923076923
113,Cergy,0.9615618461538462
114,Cergy,0.6782633846153847
115,Cergy,0.9853243076923076
116,Cergy,0.8440726153846154
117,Cergy,0.5953723076923078
118,Cergy,0.7050916923076924
119,Cergy,0.8781390769230769
120,Cergy,0.9088320000000001
121,Cergy,0.8075790769230771
122,Cergy,0.7582092307692307
123,Cergy,0.9147212307692306
124,Cergy,0.7133636923076924
125,Cergy,0.47028184615384616
126,Cergy,0.8551975384615386
127,Reims,0.9969821538461539
128,Reims,0.5151938461538461
129,Reims,0.9342793846153845
130,Avignon,0.9132209230769232
131,Avignon,0.42701661538461533
132,Avignon,0.990086153846154
133,Avignon,0.13162953846153846
134,Montauban,0.9351852307692308
135,Montauban,0.7404615384615386
136,Montauban,0.5514793846153846
137,Clermont-Ferrand,0.9987593846153845
138,Clermont-Ferrand,0.6320098461538461
139,Cergy,0.6644726153846153
140,Cergy,0.9798572307692307
141,Cergy,0.8105058461538461
142,Cergy,0.7131076923076923
143,Cergy,0.9370116923076924
144,Cergy,0.9924615384615383
145,Cergy,0.3799606153846154
146,Cergy,0.7405292307692308
147,Cergy,0.8044504615384614
148,Cergy,0.8983236923076923
149,Cergy,0.7525624615384615
150,Cergy,0.9387323076923075
151,Cergy,0.2981796923076923
152,Cergy,0.8811396923076922
153,Cergy,0.9774941538461539
154,Cergy,0.6239409230769231
155,Cergy,0.8996184615384615
156,Cergy,0.6867015384615385
157,Reims,0.986916923076923
158,Reims,0.8873944615384616
159,Reims,0.80208
160,Reims,0.5523544615384616
161,Reims,0.9634264615384615
162,Avignon,0.9968836923076922
163,Avignon,0.807408
164,Avignon,0.992084923076923
165,Avignon,0.2662116923076923
166,Avignon,0.9369009230769232
167,Avignon,0.6453784615384615
168,Avignon,0.7670879999999999
169,Montauban,0.7477686153846154
170,Montauban,0.8726104615384617
