,fill_rate,from_warehouse,kind
122,0.9629230769230769,Cergy,Scenario 3
123,0.9570006153846153,Cergy,Scenario 3
124,0.2629809230769231,Montauban,Scenario 3
125,0.8961919999999999,Montauban,Scenario 3
126,0.8986572307692308,Montauban,Scenario 3
127,0.6376787692307692,Épinal,Scenario 3
128,0.8018338461538461,Épinal,Scenario 3
129,0.946676923076923,Épinal,Scenario 3
130,0.8904073846153847,Épinal,Scenario 3
131,0.8370769230769232,Épinal,Scenario 3
132,0.8781390769230769,Rennes,Scenario 3
133,0.8044504615384614,Rennes,Scenario 3
134,0.971844923076923,Rennes,Scenario 3
135,0.8210363076923076,Rennes,Scenario 3
136,0.8380947692307693,Rennes,Scenario 3
137,0.7279138461538461,Rennes,Scenario 3
138,0.0009846153846153846,Avignon,Scenario 3
139,0.22559507692307693,Cergy,Scenario 3
140,0.02326646153846154,Épinal,Scenario 3
141,0.039940923076923075,Rennes,Scenario 3
142,0.9179126153846153,Avignon,Scenario 3
143,0.5579458461538461,Avignon,Scenario 3
144,0.9467815384615385,Avignon,Scenario 3
145,0.9560443076923077,Avignon,Scenario 3
146,0.989241846153846,Cergy,Scenario 3
147,0.9592775384615384,Cergy,Scenario 3
148,0.932064,Cergy,Scenario 3
149,0.9775483076923076,Cergy,Scenario 3
150,0.89728,Cergy,Scenario 3
151,0.8551975384615386,Cergy,Scenario 3
152,0.9868086153846154,Cergy,Scenario 3
153,0.9986818461538463,Cergy,Scenario 3
154,0.8920984615384616,Cergy,Scenario 3
155,0.8912086153846153,Cergy,Scenario 3
156,0.9961686153846153,Cergy,Scenario 3
157,0.6920221538461538,Cergy,Scenario 3
158,0.640896,Montauban,Scenario 3
159,0.979211076923077,Montauban,Scenario 3
160,0.607019076923077,Montauban,Scenario 3
161,0.4794412307692308,Épinal,Scenario 3
162,0.6571667692307692,Épinal,Scenario 3
163,0.8086880000000002,Rennes,Scenario 3
164,0.8841095384615385,Rennes,Scenario 3
165,0.7133636923076924,Rennes,Scenario 3
166,0.6212824615384616,Rennes,Scenario 3
167,0.721147076923077,Avignon,Scenario 3
168,0.07802584615384617,Cergy,Scenario 3
169,0.8701932307692305,Cergy,Scenario 3
170,0.996596923076923,Cergy,Scenario 3
171,0.9565058461538463,Cergy,Scenario 3
172,0.9379446153846154,Cergy,Scenario 3
173,0.7719569230769231,Montauban,Scenario 3
174,0.9535261538461537,Épinal,Scenario 3
175,0.4040861538461539,Épinal,Scenario 3
176,0.5634313846153846,Rennes,Scenario 3
177,0.7123729230769231,Rennes,Scenario 3
178,0.890555076923077,Avignon,Scenario 3
179,0.9885846153846154,Avignon,Scenario 3
180,0.9823593846153846,Avignon,Scenario 3
181,0.9163913846153846,Avignon,Scenario 3
182,0.9575569230769231,Cergy,Scenario 3
183,0.8730584615384617,Cergy,Scenario 3
184,0.9050067692307691,Cergy,Scenario 3
185,0.8972209230769231,Cergy,Scenario 3
186,0.993088,Cergy,Scenario 3
187,0.9627138461538461,Cergy,Scenario 3
188,0.9950843076923077,Cergy,Scenario 3
189,1.000292923076923,Cergy,Scenario 3
190,0.950742153846154,Cergy,Scenario 3
191,0.9489427692307693,Cergy,Scenario 3
192,0.9334560000000002,Montauban,Scenario 3
193,0.885019076923077,Montauban,Scenario 3
194,0.8377858461538461,Montauban,Scenario 3
195,0.3515076923076923,Montauban,Scenario 3
196,0.6619790769230769,Montauban,Scenario 3
197,0.981878153846154,Épinal,Scenario 3
198,0.8412332307692307,Épinal,Scenario 3
199,0.7210621538461539,Épinal,Scenario 3
200,0.5244258461538461,Rennes,Scenario 3
